	Shm	Gtb	Mlm	Upp	Sol	Vas	Orb	Lkp	Hbg	Jkp	
Shm	NaN	473	613	71	20	109	197	202	556	324
Gtb	473	NaN	272	453	466	376	282	274	215	144
Mlm	613	272	NaN	673	628	597	494	407	64	280
Upp	71	453	673	NaN	52	79	171	249	616	377
Sol	20	466	628	52	NaN	93	185	216	570	339
Vas	109	376	597	79	93	NaN	94	189	540	308	
Orb	197	282	494	171	185	94	NaN	119	442	200
Lkp	202	274	407	249	216	189	119	NaN	336	129
Hbg	556	215	64	616	570	540	442	336	NaN	235
Jkp	324	144	280	377	339	308	200	129	235	NaN
